CODIGO_ENTIDAD,NOMBRE,ESTADO1_LICENCIAMIENTO,ESTADO_LICENCIAMIENTO
1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,LICENCIA OTORGADA,1
2,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,LICENCIA OTORGADA,1
4,UNIVERSIDAD NACIONAL DE TRUJILLO,LICENCIA OTORGADA,1
5,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,LICENCIA OTORGADA,1
6,UNIVERSIDAD NACIONAL DE INGENIERÍA,LICENCIA OTORGADA,1
7,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,LICENCIA OTORGADA,1
8,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,LICENCIA OTORGADA,1
11,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,LICENCIA OTORGADA,1
12,UNIVERSIDAD NACIONAL DEL ALTIPLANO,LICENCIA OTORGADA,1
14,UNIVERSIDAD PERUANA CAYETANO HEREDIA,LICENCIA OTORGADA,1
15,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,LICENCIA OTORGADA,1
16,UNIVERSIDAD NACIONAL DE CAJAMARCA,LICENCIA OTORGADA,1
17,UNIVERSIDAD DEL PACÍFICO,LICENCIA OTORGADA,1
18,UNIVERSIDAD DE LIMA,LICENCIA OTORGADA,1
19,UNIVERSIDAD DE SAN MARTÍN DE PORRES,LICENCIA OTORGADA,1
20,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,LICENCIA OTORGADA,1
29,UNIVERSIDAD DE PIURA,LICENCIA OTORGADA,1
30,UNIVERSIDAD RICARDO PALMA,LICENCIA OTORGADA,1
32,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,LICENCIA OTORGADA,1
33,UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,LICENCIA OTORGADA,1
35,UNIVERSIDAD NACIONAL DE UCAYALI,LICENCIA OTORGADA,1
38,UNIVERSIDAD PERUANA UNIÓN,LICENCIA OTORGADA,1
39,UNIVERSIDAD ANDINA DEL CUSCO,LICENCIA OTORGADA,1
43,UNIVERSIDAD PRIVADA DE TACNA,LICENCIA OTORGADA,1
46,UNIVERSIDAD PRIVADA ANTENOR ORREGO,LICENCIA OTORGADA,1
49,UNIVERSIDAD MARCELINO CHAMPAGNAT,LICENCIA OTORGADA,1
54,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,LICENCIA OTORGADA,1
55,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,LICENCIA OTORGADA,1
57,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,LICENCIA OTORGADA,1
62,UNIVERSIDAD CATÓLICA SAN PABLO,LICENCIA OTORGADA,1
68,UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,LICENCIA OTORGADA,1
69,UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,LICENCIA OTORGADA,1
71,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,LICENCIA OTORGADA,1
76,UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,LICENCIA OTORGADA,1
79,UNIVERSIDAD ESAN,LICENCIA OTORGADA,1
80,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,LICENCIA OTORGADA,1
82,UNIVERSIDAD PARA EL DESARROLLO ANDINO,LICENCIA OTORGADA,1
84,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA,LICENCIA OTORGADA,1
89,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,LICENCIA OTORGADA,1
95,UNIVERSIDAD NACIONAL DE MOQUEGUA,LICENCIA OTORGADA,1
96,UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.,LICENCIA OTORGADA,1
97,ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,LICENCIA OTORGADA,1
98,UNIVERSIDAD NACIONAL DE JULIACA,LICENCIA OTORGADA,1
100,UNIVERSIDAD JAIME BAUSATE Y MEZA,LICENCIA OTORGADA,1
101,UNIVERSIDAD NACIONAL DE JAÉN,LICENCIA OTORGADA,1
104,UNIVERSIDAD LE CORDON BLEU S.A.C.,LICENCIA OTORGADA,1
108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,LICENCIA OTORGADA,1
120,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,LICENCIA OTORGADA,1
121,UNIVERSIDAD NACIONAL DE BARRANCA,LICENCIA OTORGADA,1
122,UNIVERSIDAD NACIONAL DE CAÑETE,LICENCIA OTORGADA,1
123,UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA,LICENCIA OTORGADA,1
124,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,LICENCIA OTORGADA,1
126,UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,LICENCIA OTORGADA,1
127,UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA,LICENCIA OTORGADA,1
128,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA,LICENCIA OTORGADA,1
132,UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA,LICENCIA OTORGADA,1
133,UNIVERSIDAD LA SALLE,LICENCIA OTORGADA,1
136,UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,LICENCIA OTORGADA,1
67,UNIVERSIDAD CONTINENTAL S.A.C.,LICENCIA OTORGADA,1
88,UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR,LICENCIA OTORGADA,1
129,UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO,CON INFORME DE OBSERVACIONES (IO) NOTIFICADO,
130,UNIVERSIDAD AUTÓNOMA MUNICIPAL DE LOS OLIVOS,NINGUNO,
138,UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO,LICENCIA OTORGADA,1
139,UNIVERSIDAD NACIONAL CIRO ALEGRÍA,LICENCIA DENEGADA,0
147,UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,LICENCIA DENEGADA,0
148,UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,LICENCIA DENEGADA,0
3,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,LICENCIA OTORGADA,1
9,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,LICENCIA OTORGADA,1
10,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,LICENCIA OTORGADA,1
13,UNIVERSIDAD NACIONAL DE PIURA,LICENCIA OTORGADA,1
21,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,LICENCIA OTORGADA,1
22,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA,LICENCIA OTORGADA,1
23,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO,LICENCIA OTORGADA,1
24,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,LICENCIA DENEGADA,0
25,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,LICENCIA OTORGADA,1
26,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN,LICENCIA OTORGADA,1
27,UNIVERSIDAD NACIONAL DEL CALLAO,LICENCIA OTORGADA,1
28,UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,LICENCIA OTORGADA,1
31,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,LICENCIA DENEGADA,0
34,UNIVERSIDAD NACIONAL DE SAN MARTÍN,LICENCIA OTORGADA,1
36,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,LICENCIA DENEGADA,0
37,UNIVERSIDAD PERUANA LOS ANDES,LICENCIA OTORGADA,1
40,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,LICENCIA OTORGADA,1
41,UNIVERSIDAD NACIONAL DE TUMBES,LICENCIA OTORGADA,1
42,UNIVERSIDAD NACIONAL DEL SANTA,LICENCIA OTORGADA,1
44,UNIVERSIDAD PARTICULAR DE CHICLAYO,LICENCIA DENEGADA,0
47,UNIVERSIDAD DE HUÁNUCO,LICENCIA OTORGADA,1
51,UNIVERSIDAD NACIONAL DE HUANCAVELICA,LICENCIA OTORGADA,1
52,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,LICENCIA OTORGADA,1
59,UNIVERSIDAD ALAS PERUANAS S.A.,LICENCIA DENEGADA,0
61,UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,LICENCIA OTORGADA,1
65,UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,LICENCIA OTORGADA,1
70,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.,LICENCIA DENEGADA,0
72,UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.,LICENCIA OTORGADA,1
75,UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,LICENCIA OTORGADA,1
77,UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC,LICENCIA OTORGADA,1
78,UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.,LICENCIA DENEGADA,0
81,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.,LICENCIA DENEGADA,0
83,UNIVERSIDAD PRIVADA TELESUP S.A.C.,LICENCIA DENEGADA,0
45,UNIVERSIDAD SAN PEDRO,LICENCIA DENEGADA,0
48,UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,LICENCIA DENEGADA,0
50,UNIVERSIDAD CIENTÍFICA DEL PERÚ,LICENCIA DENEGADA,0
53,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,LICENCIA DENEGADA,0
64,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.,LICENCIA OTORGADA,1
74,UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,LICENCIA OTORGADA,1
85,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,LICENCIA DENEGADA,0
86,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,LICENCIA DENEGADA,0
90,UNIVERSIDAD PRIVADA DE TRUJILLO,LICENCIA DENEGADA,0
91,UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.,LICENCIA DENEGADA,0
92,UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,LICENCIA DENEGADA,0
94,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,LICENCIA DENEGADA,0
99,UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.,LICENCIA DENEGADA,0
102,UNIVERSIDAD PERUANA DEL CENTRO,LICENCIA DENEGADA,0
103,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.,LICENCIA DENEGADA,0
105,UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.,LICENCIA OTORGADA,1
106,UNIVERSIDAD NACIONAL DE FRONTERA,LICENCIA OTORGADA,1
111,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,LICENCIA DENEGADA,0
112,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,LICENCIA DENEGADA,0
114,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,LICENCIA DENEGADA,0
115,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,LICENCIA DENEGADA,0
116,UNIVERSIDAD SAN ANDRÉS S.A.C.,LICENCIA DENEGADA,0
117,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,LICENCIA DENEGADA,0
118,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,LICENCIA DENEGADA,0
119,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,LICENCIA DENEGADA,0
125,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA,LICENCIA OTORGADA,1
134,UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.,LICENCIA DENEGADA,0
135,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,LICENCIA DENEGADA,0
140,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.,LICENCIA DENEGADA,0
142,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,LICENCIA DENEGADA,0
143,UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.,LICENCIA OTORGADA,1
144,UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.,LICENCIA DENEGADA,0
145,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,LICENCIA DENEGADA,0
146,UNIVERSIDAD PRIVADA SISE S.A.C.,LICENCIA DENEGADA,0
63,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,LICENCIA DENEGADA,0
87,UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,LICENCIA OTORGADA,0
110,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.,LICENCIA DENEGADA,0
137,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,LICENCIA DENEGADA,0
93,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,LICENCIA DENEGADA,0
107,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,LICENCIA DENEGADA,0
109,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,LICENCIA DENEGADA,0
113,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,LICENCIA DENEGADA,0
141,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,LICENCIA DENEGADA,0
149,FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA,LICENCIA OTORGADA,1
