CODIGO_ENTIDAD,NOMBRE,DEPARTAMENTO
1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,LIMA
2,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,AYACUCHO
4,UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD
5,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,AREQUIPA
6,UNIVERSIDAD NACIONAL DE INGENIERÍA,LIMA
7,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,LIMA
8,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,LIMA
11,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,LORETO
12,UNIVERSIDAD NACIONAL DEL ALTIPLANO,PUNO
14,UNIVERSIDAD PERUANA CAYETANO HEREDIA,LIMA
15,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,AREQUIPA
16,UNIVERSIDAD NACIONAL DE CAJAMARCA,CAJAMARCA
17,UNIVERSIDAD DEL PACÍFICO,LIMA
18,UNIVERSIDAD DE LIMA,LIMA
19,UNIVERSIDAD DE SAN MARTÍN DE PORRES,LIMA
20,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,LIMA
29,UNIVERSIDAD DE PIURA,PIURA
30,UNIVERSIDAD RICARDO PALMA,LIMA
32,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,TACNA
33,UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,ÁNCASH
35,UNIVERSIDAD NACIONAL DE UCAYALI,UCAYALI
38,UNIVERSIDAD PERUANA UNIÓN,LIMA
39,UNIVERSIDAD ANDINA DEL CUSCO,CUSCO
43,UNIVERSIDAD PRIVADA DE TACNA,TACNA
46,UNIVERSIDAD PRIVADA ANTENOR ORREGO,LA LIBERTAD
49,UNIVERSIDAD MARCELINO CHAMPAGNAT,LIMA
54,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,LIMA
55,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,LA LIBERTAD
57,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,LIMA
62,UNIVERSIDAD CATÓLICA SAN PABLO,AREQUIPA
68,UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,LIMA
69,UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,LAMBAYEQUE
71,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,LIMA
76,UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS
79,UNIVERSIDAD ESAN,LIMA
80,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,LIMA
82,UNIVERSIDAD PARA EL DESARROLLO ANDINO,HUANCAVELICA
84,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA,UCAYALI
89,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,APURÍMAC
95,UNIVERSIDAD NACIONAL DE MOQUEGUA,MOQUEGUA
96,UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.,LIMA
97,ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,LIMA
98,UNIVERSIDAD NACIONAL DE JULIACA,PUNO
100,UNIVERSIDAD JAIME BAUSATE Y MEZA,LIMA
101,UNIVERSIDAD NACIONAL DE JAÉN,CAJAMARCA
104,UNIVERSIDAD LE CORDON BLEU S.A.C.,LIMA
108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,LIMA
120,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,CAJAMARCA
121,UNIVERSIDAD NACIONAL DE BARRANCA,LIMA
122,UNIVERSIDAD NACIONAL DE CAÑETE,LIMA
123,UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA,AMAZONAS
124,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,JUNÍN
126,UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,LORETO
127,UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA,JUNÍN
128,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA,AYACUCHO
132,UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA,LIMA
133,UNIVERSIDAD LA SALLE,AREQUIPA
136,UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,LIMA
67,UNIVERSIDAD CONTINENTAL S.A.C.,JUNÍN
88,UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR,LIMA
129,UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO,LIMA
130,UNIVERSIDAD AUTÓNOMA MUNICIPAL DE LOS OLIVOS,LIMA
138,UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO,HUANCAVELICA
139,UNIVERSIDAD NACIONAL CIRO ALEGRÍA,LA LIBERTAD
147,UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,LIMA
148,UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,LIMA
3,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,CUSCO
9,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,ICA
10,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,JUNÍN
13,UNIVERSIDAD NACIONAL DE PIURA,PIURA
21,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,LIMA
22,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA,HUÁNUCO
23,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO,HUÁNUCO
24,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,LIMA
25,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,LIMA
26,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN,PASCO
27,UNIVERSIDAD NACIONAL DEL CALLAO,CALLAO
28,UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,LIMA
31,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,LAMBAYEQUE
34,UNIVERSIDAD NACIONAL DE SAN MARTÍN,SAN MARTÍN
36,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PUNO
37,UNIVERSIDAD PERUANA LOS ANDES,JUNÍN
40,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,APURÍMAC
41,UNIVERSIDAD NACIONAL DE TUMBES,TUMBES
42,UNIVERSIDAD NACIONAL DEL SANTA,ÁNCASH
44,UNIVERSIDAD PARTICULAR DE CHICLAYO,LAMBAYEQUE
47,UNIVERSIDAD DE HUÁNUCO,HUÁNUCO
51,UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA
52,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,LA LIBERTAD
59,UNIVERSIDAD ALAS PERUANAS S.A.,LIMA
61,UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,LIMA
65,UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,LIMA
70,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.,CAJAMARCA
72,UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.,LAMBAYEQUE
75,UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,MADRE DE DIOS
77,UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC,APURÍMAC
78,UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.,LIMA
81,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.,LIMA
83,UNIVERSIDAD PRIVADA TELESUP S.A.C.,LIMA
45,UNIVERSIDAD SAN PEDRO,ÁNCASH
48,UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,MOQUEGUA
50,UNIVERSIDAD CIENTÍFICA DEL PERÚ,LORETO
53,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,ÁNCASH
64,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.,LIMA
74,UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,LA LIBERTAD
85,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,LIMA
86,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,UCAYALI
90,UNIVERSIDAD PRIVADA DE TRUJILLO,LA LIBERTAD
91,UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.,PUNO
92,UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,LIMA
94,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,LORETO
99,UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.,LAMBAYEQUE
102,UNIVERSIDAD PERUANA DEL CENTRO,JUNÍN
103,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.,LIMA
105,UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.,JUNÍN
106,UNIVERSIDAD NACIONAL DE FRONTERA,PIURA
111,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,AREQUIPA
112,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,AYACUCHO
114,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,CUSCO
115,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,AREQUIPA
116,UNIVERSIDAD SAN ANDRÉS S.A.C.,LIMA
117,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,LIMA
118,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,LIMA
119,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,LA LIBERTAD
125,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA,CUSCO
134,UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.,TACNA
135,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,AREQUIPA
140,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.,LIMA
142,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,CUSCO
143,UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.,LIMA
144,UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.,CUSCO
145,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,JUNÍN
146,UNIVERSIDAD PRIVADA SISE S.A.C.,LIMA
63,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,ICA
87,UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,ICA
110,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.,LORETO
137,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,AMAZONAS
93,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,LIMA
107,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,LAMBAYEQUE
109,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,LIMA
113,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,LIMA
141,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,CALLAO
149,FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA,LIMA
